Username,Tanggal,Bintang,Komentar,Komentar_Cleaned,Komentar_Tokenized,Label,Prediksi_NaiveBayes,Prediksi_SVM,Prediksi_KNN
Lalong mbeot,1/16/2023,5,"Sangat bermanfaat untuk mengetahui informasi cuaca,gempa bumi dan iklim",sangat manfaat tahu informasi cuacagempa bumi iklim,"['sangat', 'manfaat', 'tahu', 'informasi', 'cuacagempa', 'bumi', 'iklim']",positif,positif,netral,positif
L34N,3/17/2023,4,"pembaruan makin jelek, teks menutupi peta & teks tidak bisa di tutup manual sangat tidak nyaman",baru makin jelek teks tutup peta teks tidak bisa tutup manual sangat tidak nyaman,"['baru', 'makin', 'jelek', 'teks', 'tutup', 'peta', 'teks', 'tidak', 'bisa', 'tutup', 'manual', 'sangat', 'tidak', 'nyaman']",positif,negatif,positif,positif
Nur Faizah MTsN 2 Gk,12/23/2022,5,Good,good,['good'],positif,positif,netral,positif
ANANDA PUTRA ASWINABAWA,3/17/2024,5,Good,good,['good'],positif,positif,netral,positif
fikri el mubarok,10/21/2023,5,"Dear team, Mohon untuk informasi cuacanya bisa di jadikan widget di HP,, tks",dear team mohon informasi cuaca bisa jadi widget hp tks,"['dear', 'team', 'mohon', 'informasi', 'cuaca', 'bisa', 'jadi', 'widget', 'hp', 'tks']",positif,positif,netral,positif
Bayu Pamungkas,1/4/2025,4,Aplikasi nya lemot sekarang gak update,aplikasi nya lot sekarang gak update,"['aplikasi', 'nya', 'lot', 'sekarang', 'gak', 'update']",positif,negatif,positif,positif
Wahyu Ismoyo,3/25/2023,4,"Apk ini sangat bagus, sya menyukainya karena kebenaran informasinya hampir 75%..",apk sangat bagus sya suka karena benar informasi hampir,"['apk', 'sangat', 'bagus', 'sya', 'suka', 'karena', 'benar', 'informasi', 'hampir']",positif,positif,positif,positif
Juni Irwansyah Juni,8/19/2024,5,apk yg sangat membantu tapi hanya sedikit org yang tau,apk yg sangat bantu tapi hanya sedikit org tau,"['apk', 'yg', 'sangat', 'bantu', 'tapi', 'hanya', 'sedikit', 'org', 'tau']",positif,positif,netral,positif
Yana Property channel,4/26/2023,5,Sangat Membantu untuk mencari tahun lokasi terjadinya bencana,sangat bantu cari tahun lokasi jadi bencana,"['sangat', 'bantu', 'cari', 'tahun', 'lokasi', 'jadi', 'bencana']",positif,positif,positif,positif
BUSRIADI 01,3/14/2024,1,Sering juga buka ini,sering juga buka,"['sering', 'juga', 'buka']",negatif,negatif,positif,positif
A. T Fahmi,11/21/2022,1,Semenjak update-an terakhir kenapa pas di buka loading terus ya? Jaringan stabil padahal,semenjak updatean akhir kenapa pas buka loading terus ya jaring stabil padahal,"['semenjak', 'updatean', 'akhir', 'kenapa', 'pas', 'buka', 'loading', 'terus', 'ya', 'jaring', 'stabil', 'padahal']",negatif,negatif,positif,positif
kiral adindra,8/14/2024,5,jumlah rakyat Indonesia ada 200juta lebih aplikasi ini penting karna Indonesia rawan bencana harusnya min ada 50juta org yg download aplikasi ini,jumlah rakyat indonesia ada juta lebih aplikasi penting karna indonesia rawan bencana harus min ada juta org yg download aplikasi,"['jumlah', 'rakyat', 'indonesia', 'ada', 'juta', 'lebih', 'aplikasi', 'penting', 'karna', 'indonesia', 'rawan', 'bencana', 'harus', 'min', 'ada', 'juta', 'org', 'yg', 'download', 'aplikasi']",positif,positif,netral,positif
86 norsandi,3/17/2024,5,Okai,okai,['okai'],positif,positif,negatif,negatif
Djohan Karim,11/23/2023,5,informasi cepat. Sangat membantu saat dibutuhkan,informasi cepat sangat bantu saat butuh,"['informasi', 'cepat', 'sangat', 'bantu', 'saat', 'butuh']",positif,positif,netral,positif
Rino Anggoro,11/24/2022,5,Infonya sangat penting dan akurat makasih bmkg,info sangat penting akurat makasih bmkg,"['info', 'sangat', 'penting', 'akurat', 'makasih', 'bmkg']",positif,positif,negatif,negatif
anjasela java,11/26/2022,2,Bagus cuma sehabis update gak bisa dibuka android 12,bagus cuma habis update gak bisa buka android,"['bagus', 'cuma', 'habis', 'update', 'gak', 'bisa', 'buka', 'android']",negatif,negatif,netral,negatif
Yusra Muha,10/30/2023,5,Sangat luar biasa. Terimakasih,sangat luar biasa terimakasih,"['sangat', 'luar', 'biasa', 'terimakasih']",positif,positif,negatif,positif
Anggna Syahptra,5/21/2024,5,MANTAP,mantap,['mantap'],positif,positif,netral,positif
atok suparto,1/1/2023,5,Sangat bermanfaat.... Pertahankan terus....,sangat manfaat tahan terus,"['sangat', 'manfaat', 'tahan', 'terus']",positif,positif,positif,positif
Gengong Oy,9/13/2024,5,"Gak ada kualitas udara di jawa tengah,jawa barat, jawa timur tolong di perbaiki aplikasi bmkg sudah bagus tolong di perbaiki dong pemerintah indonesia",gak ada kualitas udara jawa tengahjawa barat jawa timur tolong baik aplikasi bmkg sudah bagus tolong baik dong perintah indonesia,"['gak', 'ada', 'kualitas', 'udara', 'jawa', 'tengahjawa', 'barat', 'jawa', 'timur', 'tolong', 'baik', 'aplikasi', 'bmkg', 'sudah', 'bagus', 'tolong', 'baik', 'dong', 'perintah', 'indonesia']",positif,positif,positif,positif
Muhammad Satria,3/30/2023,4,"Gambar/Peta/Grafis, lebih bagus yg sebelumya.",gambarpetagrafis lebih bagus yg sebelumya,"['gambarpetagrafis', 'lebih', 'bagus', 'yg', 'sebelumya']",positif,positif,positif,positif
Muhammad Surya,11/4/2023,3,Tampilan bagus. Cuma itu icon notifikasi nya kurang bagus cuma kotak blank saja,tampil bagus cuma icon notifikasi nya kurang bagus cuma kotak blank saja,"['tampil', 'bagus', 'cuma', 'icon', 'notifikasi', 'nya', 'kurang', 'bagus', 'cuma', 'kotak', 'blank', 'saja']",netral,positif,positif,positif
Eko Purnomo,12/16/2022,5,Cepat n terpecaya,cepat n terpecaya,"['cepat', 'n', 'terpecaya']",positif,positif,positif,positif
Vini Paliling,8/15/2024,5,👍👍👍👍,positif,[],positif,positif,positif,positif
Muhammad Ansori,12/24/2022,3,Yuk pakekini BMKG,yuk pakekini bmkg,"['yuk', 'pakekini', 'bmkg']",netral,positif,positif,positif
Kres Kariadi,9/6/2023,5,Di coba baik nga baiknya,coba baik nga baik,"['coba', 'baik', 'nga', 'baik']",positif,positif,positif,positif
gio nugroho,12/16/2022,1,Apa ini apk ini blm support android 12? Sering fc klo buka apk ini,apa apk blm support android sering fc klo buka apk,"['apa', 'apk', 'blm', 'support', 'android', 'sering', 'fc', 'klo', 'buka', 'apk']",negatif,negatif,netral,positif
James Tompunu,2/1/2025,5,"Bagi lokasi yang munculnya gunung sahari, uninstall kemudian install kembali, berhasil untuk saya",bagi lokasi muncul gunung sahari uninstall kemudian install kembali hasil saya,"['bagi', 'lokasi', 'muncul', 'gunung', 'sahari', 'uninstall', 'kemudian', 'install', 'kembali', 'hasil', 'saya']",positif,negatif,positif,positif
Pri Yono,12/8/2022,1,Setelah diupdate kok malah susah bgt dibuka aplikasinya....notifnya juga lelet,telah diupdate kok malah susah bgt buka aplikasinyanotifnya juga lelet,"['telah', 'diupdate', 'kok', 'malah', 'susah', 'bgt', 'buka', 'aplikasinyanotifnya', 'juga', 'lelet']",negatif,negatif,positif,positif
Zaenuddin Udin,1/12/2023,2,"Semakin diupdate semakin tidak jelas. Prakiraan cuaca sering meleset, contoh akan terjadi hujan ringan nyatanya panas menggelegak",makin diupdate makin tidak jelas prakira cuaca sering meleset contoh akan jadi hujan ringan nyata panas gelegak,"['makin', 'diupdate', 'makin', 'tidak', 'jelas', 'prakira', 'cuaca', 'sering', 'meleset', 'contoh', 'akan', 'jadi', 'hujan', 'ringan', 'nyata', 'panas', 'gelegak']",negatif,negatif,negatif,negatif
Taufik Urohman,12/7/2022,5,Sangat sangat bermanfaat terima kasih BMKG,sangat sangat manfaat terima kasih bmkg,"['sangat', 'sangat', 'manfaat', 'terima', 'kasih', 'bmkg']",positif,positif,positif,positif
Rahman,1/16/2025,1,Kenapa sekarang tidak bisa pilih kota yang diinginkan?,kenapa sekarang tidak bisa pilih kota ingin,"['kenapa', 'sekarang', 'tidak', 'bisa', 'pilih', 'kota', 'ingin']",negatif,negatif,positif,positif
Dian Pusparini,12/3/2022,4,Qo engga ada keterangan berapa lama nya guncangan gempa terjadi ya? Apa sy yg engga liat ya,qo engga ada terang berapa lama nya guncang gempa jadi ya apa sy yg engga liat ya,"['qo', 'engga', 'ada', 'terang', 'berapa', 'lama', 'nya', 'guncang', 'gempa', 'jadi', 'ya', 'apa', 'sy', 'yg', 'engga', 'liat', 'ya']",positif,positif,positif,positif
lilitooth 75,11/24/2023,1,Kurang selalu update barusan ada gempapun dibuka masih keadaan info gempa yang kemarin,kurang selalu update barusan ada gempa buka masih ada info gempa kemarin,"['kurang', 'selalu', 'update', 'barusan', 'ada', 'gempa', 'buka', 'masih', 'ada', 'info', 'gempa', 'kemarin']",negatif,negatif,positif,positif
rinal al ghafani,7/5/2024,5,Kklo ada widget pasti lebih bagus,kklo ada widget pasti lebih bagus,"['kklo', 'ada', 'widget', 'pasti', 'lebih', 'bagus']",positif,positif,netral,positif
aroundus livelife,1/19/2024,4,"bagus nih, mungkin bisa ditambah widget untuk smartphone",bagus nih mungkin bisa tambah widget smartphone,"['bagus', 'nih', 'mungkin', 'bisa', 'tambah', 'widget', 'smartphone']",positif,positif,positif,positif
TheMasterTM,7/10/2023,4,Aplikasinya tidak bisa dibuka walau sudah di tunggu lama mohon diperbaiki yaa♥️♥️,aplikasi tidak bisa buka walau sudah tunggu lama mohon baik yaa,"['aplikasi', 'tidak', 'bisa', 'buka', 'walau', 'sudah', 'tunggu', 'lama', 'mohon', 'baik', 'yaa']",positif,negatif,negatif,negatif
Muhammad Ardan,12/18/2024,3,"Kenapa prakiraan cuaca di daerah saya malah di daerah gunung Sahari di kawasan daerah Jabodetabek, tolong segera diperbaiki sistemnya.",kenapa prakira cuaca daerah saya malah daerah gunung sahari kawasan daerah jabodetabek tolong segera baik sistem,"['kenapa', 'prakira', 'cuaca', 'daerah', 'saya', 'malah', 'daerah', 'gunung', 'sahari', 'kawasan', 'daerah', 'jabodetabek', 'tolong', 'segera', 'baik', 'sistem']",netral,negatif,positif,positif
Asep Soleh Rosyadi,11/24/2024,2,masih kurang akurat,masih kurang akurat,"['masih', 'kurang', 'akurat']",negatif,positif,positif,positif
ningrumsagita 06 (Hefi W),12/16/2024,5,👍,positif,[],positif,positif,netral,positif
Taufik Helmi,10/30/2024,5,"Sangat penting ,kita bida tahu keadaan alam kedepannya...trims",sangat penting kita bida tahu ada alam kedepannyatrims,"['sangat', 'penting', 'kita', 'bida', 'tahu', 'ada', 'alam', 'kedepannyatrims']",positif,positif,positif,positif
Yopi Syamsul,11/27/2023,4,very good yes,very good yes,"['very', 'good', 'yes']",positif,positif,positif,positif
Alip Susilo,2/2/2025,1,"Aplikasi payah, tingkat akurasi 80% meleset saat musim hujan. Sungguh tidak berguna sama sekali. Padahal saya petani sangat mengandalkan prakiraan cuaca.",aplikasi payah tingkat akurasi meleset saat musim hujan sungguh tidak guna sama sekali padahal saya tani sangat andal prakira cuaca,"['aplikasi', 'payah', 'tingkat', 'akurasi', 'meleset', 'saat', 'musim', 'hujan', 'sungguh', 'tidak', 'guna', 'sama', 'sekali', 'padahal', 'saya', 'tani', 'sangat', 'andal', 'prakira', 'cuaca']",negatif,positif,positif,positif
Nang Dien,12/20/2024,5,Oke,oke,['oke'],positif,positif,positif,positif
Waryawan Ena,11/26/2022,1,Bagus,bagus,['bagus'],negatif,positif,negatif,negatif
Mustakim “Mustakim” Mustafa,2/8/2023,4,Lebih cepat lagi infonya khusus daerah papua,lebih cepat lagi info khusus daerah papua,"['lebih', 'cepat', 'lagi', 'info', 'khusus', 'daerah', 'papua']",positif,positif,positif,positif
Tedi Hambali,9/7/2024,4,Untuk aplikasinya akurat cuman ada yang kurang yaitu tambahin widget dong,aplikasi akurat cuman ada kurang yaitu tambahin widget dong,"['aplikasi', 'akurat', 'cuman', 'ada', 'kurang', 'yaitu', 'tambahin', 'widget', 'dong']",positif,positif,netral,negatif
Ignatius Ivan Lumen,7/23/2023,5,Sangat Baik,sangat baik,"['sangat', 'baik']",positif,positif,positif,positif
Tankhas Shop,1/6/2024,1,"Ini apa ini kok ga akurat sama sekali dari kemarin"".",apa kok ga akurat sama sekali kemarin,"['apa', 'kok', 'ga', 'akurat', 'sama', 'sekali', 'kemarin']",negatif,negatif,positif,positif
Kristopel Simbolon,12/4/2024,5,Semoga BMKG selalu menjadi Hal yang paling Informatif bagi seluruh Masyarakat Indonesia. 🙏🙌,moga bmkg selalu jadi hal paling informatif bagi seluruh masyarakat indonesia,"['moga', 'bmkg', 'selalu', 'jadi', 'hal', 'paling', 'informatif', 'bagi', 'seluruh', 'masyarakat', 'indonesia']",positif,positif,positif,positif
Jagat satria,5/11/2023,1,Cukup mengecewakan,cukup kecewa,"['cukup', 'kecewa']",negatif,positif,positif,positif
Prayoga Dewangkara,12/15/2022,5,membantu dalam melihat situasi terkini,bantu dalam lihat situasi kini,"['bantu', 'dalam', 'lihat', 'situasi', 'kini']",positif,positif,positif,positif
suwito adi,6/19/2023,5,Mantaps,mantaps,['mantaps'],positif,positif,positif,positif
Okto Manik ST,8/17/2023,5,👍,positif,[],positif,positif,positif,positif
Ze In,1/4/2024,5,Kapan di apkikasi ini di beri tanda warning kalo ada gempa,kapan apkikasi beri tanda warning kalo ada gempa,"['kapan', 'apkikasi', 'beri', 'tanda', 'warning', 'kalo', 'ada', 'gempa']",positif,positif,positif,positif
MAMAS AL FARIZ,5/7/2024,3,Tolong untuk dikasih pemberitahuan secara real-time di notifikasi android supaya tau. Tidak usah membuka aplikasi,tolong kasih pemberitahuan cara realtime notifikasi android supaya tau tidak usah buka aplikasi,"['tolong', 'kasih', 'pemberitahuan', 'cara', 'realtime', 'notifikasi', 'android', 'supaya', 'tau', 'tidak', 'usah', 'buka', 'aplikasi']",netral,negatif,netral,positif
Dhimas Wicaksono,9/12/2023,3,"Masih ada bug terkait notifikasi, user mendapatkan notifikasi gempa 2-3x dengan gempa yang sama. Mohon segera di perbaiki ya, dikarnakan saya risih mendapatkan notifikasi yg sama berulang kali dan memenuhi notif bar saya, jika gempa menurut saya notifikasi cukup 1x dan jika bisa dengan vibrasi on dan pop-up karna peringatan gempa adalah mandatory di awal bukan reminder notifikasi",masih ada bug kait notifikasi user dapat notifikasi gempa x gempa sama mohon segera baik ya dikarnakan saya risih dapat notifikasi yg sama ulang kali penuh notif bar saya jika gempa turut saya notifikasi cukup x jika bisa vibrasi on popup karna ingat gempa adalah mandatory awal bukan reminder notifikasi,"['masih', 'ada', 'bug', 'kait', 'notifikasi', 'user', 'dapat', 'notifikasi', 'gempa', 'x', 'gempa', 'sama', 'mohon', 'segera', 'baik', 'ya', 'dikarnakan', 'saya', 'risih', 'dapat', 'notifikasi', 'yg', 'sama', 'ulang', 'kali', 'penuh', 'notif', 'bar', 'saya', 'jika', 'gempa', 'turut', 'saya', 'notifikasi', 'cukup', 'x', 'jika', 'bisa', 'vibrasi', 'on', 'popup', 'karna', 'ingat', 'gempa', 'adalah', 'mandatory', 'awal', 'bukan', 'reminder', 'notifikasi']",netral,netral,netral,positif
ANGGA AGUSTIAWAN,8/15/2024,5,YA Allah lindungi kami,ya allah lindung kami,"['ya', 'allah', 'lindung', 'kami']",positif,positif,negatif,positif
Husnul Khatimah Abdullah,1/29/2025,4,"Apk nya ckup bagus, tpi sayang klo udah plih desa nya, ada yang gk bisa dicari, dan ada pula udah ganti lokasi, tpi desa nya itu² aja, gk bisa keganti.!!! Mohon diperbaiki lagi, karena sebelumnya udah bagus, pas sudah update malah jadi begitu 😢",apk nya ckup bagus tpi sayang klo udah plih desa nya ada gk bisa cari ada pula udah ganti lokasi tpi desa nya aja gk bisa ganti mohon baik lagi karena belum udah bagus pas sudah update malah jadi begitu,"['apk', 'nya', 'ckup', 'bagus', 'tpi', 'sayang', 'klo', 'udah', 'plih', 'desa', 'nya', 'ada', 'gk', 'bisa', 'cari', 'ada', 'pula', 'udah', 'ganti', 'lokasi', 'tpi', 'desa', 'nya', 'aja', 'gk', 'bisa', 'ganti', 'mohon', 'baik', 'lagi', 'karena', 'belum', 'udah', 'bagus', 'pas', 'sudah', 'update', 'malah', 'jadi', 'begitu']",positif,negatif,negatif,negatif
FaSa FauZi,12/27/2022,5,Good..👍🏻👍🏻👍🏻,good,['good'],positif,positif,positif,positif
S Siswarjono,3/7/2024,5,Ok,ok,['ok'],positif,positif,negatif,positif
Gayus Motanda,11/8/2023,5,Aplikasinya sangat membantu,aplikasi sangat bantu,"['aplikasi', 'sangat', 'bantu']",positif,positif,netral,positif
David Christianm,8/7/2024,4,Good,good,['good'],positif,positif,positif,positif
Argo Papua,1/1/2023,5,Oke,oke,['oke'],positif,positif,positif,negatif
Yus Djami,12/26/2022,3,Mohon,mohon,['mohon'],netral,positif,negatif,negatif
Rido Dho,9/7/2024,1,Sangat sangat tidak akurat,sangat sangat tidak akurat,"['sangat', 'sangat', 'tidak', 'akurat']",negatif,positif,positif,positif
Dany Anggara,12/15/2024,1,"DI UPDATE MALAH NGEBUG GABISA GANTI LOKASI, BUG GUNUNG SAHARI MULU",update malah ngebug gabisa ganti lokasi bug gunung sahari mulu,"['update', 'malah', 'ngebug', 'gabisa', 'ganti', 'lokasi', 'bug', 'gunung', 'sahari', 'mulu']",negatif,negatif,netral,positif
Hektor Nykterstein,1/31/2025,2,ada bug dalam membaca keakuratan gps pada menu cuaca TOLONG SEGERA PERBAIKI!,ada bug dalam baca akurat gps menu cuaca tolong segera baik,"['ada', 'bug', 'dalam', 'baca', 'akurat', 'gps', 'menu', 'cuaca', 'tolong', 'segera', 'baik']",negatif,negatif,positif,positif
teguh pebtiadi,9/16/2024,4,"Ckp membantu, semoga user interface experience nya bs ditingkatkan lg sehingga lebih user friendly...bravo BMKG",ckp bantu moga user interface experience nya bs tingkat lg sehingga lebih user friendlybravo bmkg,"['ckp', 'bantu', 'moga', 'user', 'interface', 'experience', 'nya', 'bs', 'tingkat', 'lg', 'sehingga', 'lebih', 'user', 'friendlybravo', 'bmkg']",positif,positif,positif,positif
Dimas Tahes,2/26/2024,4,H o p Ramlee hh . Hh h h hh h h h h h .... A sa akuuu uyc,h o p ramlee hh hh h h hh h h h h h a sa akuuu uyc,"['h', 'o', 'p', 'ramlee', 'hh', 'hh', 'h', 'h', 'hh', 'h', 'h', 'h', 'h', 'h', 'a', 'sa', 'akuuu', 'uyc']",positif,netral,positif,positif
Andi Riski Ramadan Andik,1/9/2023,3,Kenapa.si keluar2 aja dari apk nya,napas keluar aja apk nya,"['napas', 'keluar', 'aja', 'apk', 'nya']",netral,negatif,negatif,positif
Abdul Rohman,3/29/2023,5,sngat berarti,sngat arti,"['sngat', 'arti']",positif,positif,negatif,positif
Asep Setyadi Iskandar,1/2/2023,4,Baguz,baguz,['baguz'],positif,positif,positif,positif
Misella Anggrainisetiawan,1/17/2023,5,Sangaat membantuuu,sangaat membantuuu,"['sangaat', 'membantuuu']",positif,positif,negatif,positif
Ahmad Rifai,6/4/2023,5,"Untuk Developer Badan Meteorologi Klimatologi & Geofisika. Info BMKG Sangat Bermanfaat, Terus Tingkatkan Fitur Dan Kualitas Di Dalam Aplikasi.",developer badan meteorologi klimatologi geofisika info bmkg sangat manfaat terus tingkat fitur kualitas dalam aplikasi,"['developer', 'badan', 'meteorologi', 'klimatologi', 'geofisika', 'info', 'bmkg', 'sangat', 'manfaat', 'terus', 'tingkat', 'fitur', 'kualitas', 'dalam', 'aplikasi']",positif,positif,positif,positif
Debi Maulana Ahsan Halla,4/29/2023,4,"Mohon tambahkan fitur fenomena astronomi, seperti gerhana dan meteor.",mohon tambah fitur fenomena astronomi seperti gerhana meteor,"['mohon', 'tambah', 'fitur', 'fenomena', 'astronomi', 'seperti', 'gerhana', 'meteor']",positif,positif,positif,positif
Anggoro Dwi,1/11/2025,1,Informasi selalu terlambat.,informasi selalu lambat,"['informasi', 'selalu', 'lambat']",negatif,positif,positif,positif
Aditya Gemers,1/5/2023,2,"Cuaca maritim lebih baik versi lama,versi lama tinggal klik gambar langsung muncul 3hari kedepan,versi baru ribet harus ketik nama lokasi dulu, dan kenapa selalu keluar sendiri",cuaca maritim lebih baik versi lamaversi lama tinggal klik gambar langsung muncul hari kedepanversi baru ribet harus ketik nama lokasi dulu kenapa selalu keluar sendiri,"['cuaca', 'maritim', 'lebih', 'baik', 'versi', 'lamaversi', 'lama', 'tinggal', 'klik', 'gambar', 'langsung', 'muncul', 'hari', 'kedepanversi', 'baru', 'ribet', 'harus', 'ketik', 'nama', 'lokasi', 'dulu', 'kenapa', 'selalu', 'keluar', 'sendiri']",negatif,negatif,positif,positif
Bisma Ryan Galaxi,2/9/2023,5,👌👍🙌🙏,positif,[],positif,positif,positif,positif
Kak Dien,12/27/2023,1,"Jauh dari akurasi,...😥",jauh akurasi,"['jauh', 'akurasi']",negatif,positif,positif,positif
MuhammadRoland Fernando,8/30/2024,1,Paan si gkjls GAK AKURAT,paan si gkjls gak akurat,"['paan', 'si', 'gkjls', 'gak', 'akurat']",negatif,negatif,positif,positif
Mas Riyan,8/15/2024,5,Kenapa gempah bumi allahuakbar,kenapa gempah bumi allahuakbar,"['kenapa', 'gempah', 'bumi', 'allahuakbar']",positif,positif,positif,positif
Issmart Ali,1/7/2023,1,Diupdate malah gak bisa dibuka,diupdate malah gak bisa buka,"['diupdate', 'malah', 'gak', 'bisa', 'buka']",negatif,negatif,negatif,negatif
Eninop chanel eninop,12/24/2022,5,Top pisan,top pis,"['top', 'pis']",positif,positif,positif,positif
Ovin Yunita,3/28/2023,5,Gabut,gabut,['gabut'],positif,positif,positif,positif
Umemoto Masashi,1/9/2023,5,Kenapa setelah update malah waktu masuk malah force close?,kenapa telah update malah waktu masuk malah force close,"['kenapa', 'telah', 'update', 'malah', 'waktu', 'masuk', 'malah', 'force', 'close']",positif,negatif,positif,positif
Mr Yanto,11/26/2022,1,Setelah diupdate tdk bisa dibuka....cuma blank putih,telah diupdate tdk bisa dibukacuma blank putih,"['telah', 'diupdate', 'tdk', 'bisa', 'dibukacuma', 'blank', 'putih']",negatif,negatif,netral,positif
Mochamad Rizky Nugraha,12/16/2024,2,Mengapa Saat dibuka pertama kali GPS tidak mendeteksi tempat tinggal saya.. Malah nyasar ke daerah perairan Afrika.. Mohon Segera Diperbaiki.. Kemarin Sebelum Diperbarui aplikasinya baik2 saja.. Ini setelah diperbarui aplikasinya sangat ngaco..,mengapa saat buka pertama kali gps tidak deteksi tempat tinggal saya malah nyasar daerah air afrika mohon segera baik kemarin belum baru aplikasi baik saja telah baru aplikasi sangat ngaco,"['mengapa', 'saat', 'buka', 'pertama', 'kali', 'gps', 'tidak', 'deteksi', 'tempat', 'tinggal', 'saya', 'malah', 'nyasar', 'daerah', 'air', 'afrika', 'mohon', 'segera', 'baik', 'kemarin', 'belum', 'baru', 'aplikasi', 'baik', 'saja', 'telah', 'baru', 'aplikasi', 'sangat', 'ngaco']",negatif,negatif,netral,negatif
