Username,Tanggal,Bintang,Komentar
Kusumo Yk27,2025-02-18,5,"Keren bgt, bisa tau info gempa dgn cepat."
Maulana Athaya,2025-02-15,1,Harusnya pakai kecamatan
Σ_J,2025-02-14,5,Bermanfaat
Muksin Alatas,2025-02-14,5,Oke
Parman Nasir,2025-02-13,5,Bagus
Kalasi 52,2025-02-12,1,Setelah update kenapa ngga bisa lock lokasi kita hanya lock Jabodetabek kan aneh
Ajeng Rahayu123,2025-02-12,1,Sama sekali tidak akurat .aplikasi GK guna
VALOR,2025-02-12,1,Gabisa di buka apl nya njir
Oke ko,2025-02-12,5,Sangat bermanfaat apalagi sekarang cuaca dan keadaan alam gak menentu jadi bisa sebagai referensi
Ian Rizky Ramadhan,2025-02-11,5,Cuaca Terbaik 😇
Dipta Dharma,2025-02-11,5,Bagus Tembuku bangli bali terbaru
SNSD give me TWICE to BUDDY from ITZY,2025-02-11,4,"Sebenernya bagus, cuman kok gak up to date ya? Maksudnya pas ada gempa gak langsung terdeteksi, malah yang daerah jauh terdeteksi terus."
Sahril Ril,2025-02-10,4,Info BMKG Mantap dan terpercaya
Richard Oxborn,2025-02-09,4,"Sudah bagus, cukup akurat. Klo bisa tambahkan peta map untuk prakiraan cuaca angin real-time seperti apk windy."
Realme C153,2025-02-09,2,Datanya tidak akurat.diperkiraan cuaca hnya berawan sedangkan dilapangan sdh hujan sngt deras tapi ngga diperbarui perkiraan cuaca nya
Rusli Jepot,2025-02-08,5,👍
Wira Jaya,2025-02-08,3,"Sekarang kalo muncul notifikasi hanya gempa saja, gak kaya dulu ada perkiraan hujan pasti muncul notif."
jasmin bue,2025-02-08,5,Ok
Agus Santoso,2025-02-07,2,Apk nya jadi ga akurat GPSnya
Mulyono Iyo,2025-02-06,1,"Aplikasi ini hanya khusus daerah gunung sahari selatan, lokasi lain gak di perbolehkan"
Agus Imam Ardyansyah,2025-02-06,1,Untuk cuaca maritime kurang akurat ... Beda jauh apa yg di tunjukan ... Pada wilayah laut Jawa dari banjarmasin ke Surabaya di tampilan warna biru ( menandakan reda ) di realita ombak setinggi 2 meter
Hirnowo Hirnowo,2025-02-05,5,Sangat membantu dlm kegiatan se hair2
Imam Syafii,2025-02-04,3,"Tolong di perbaiki dong Admin, itu bagian lokasi di handphone saya tidak bisa pindah lokasi, semuanya hanya gunung sahari, meskipun wilayah lain bisa / dapat di klik, akan tetapi berakhirnya tetap di gunung sahari. Terima kasih Kami tunggu update terbaru nya"
Chyber 7981,2025-02-04,5,"Oke sudah keren,semoga kedepannya teknologi Indonesia lebih maju dan berkembang"
Yusuf proniahis Sikumbang,2025-02-04,5,Wao
Irsal Ade,2025-02-03,5,😃
Michel Mubalus,2025-02-03,5,Oke
Tukang Sumur,2025-02-02,2,Apaan prakiraan cuaca ga dikasih tanggal 😂
Evolution Ngurek,2025-02-02,1,Kurang akurat
Budi Riyanto,2025-02-02,1,Kenapa sekarang lokasinya selalu di gunung sahari jakarta.... diubah2 tetap saja gunung sahari... notifikasi tidak relevan dengan lokasi kita...
Alip Susilo,2025-02-02,1,"Aplikasi payah, tingkat akurasi 80% meleset saat musim hujan. Sungguh tidak berguna sama sekali. Padahal saya petani sangat mengandalkan prakiraan cuaca."
Gede Bonsai,2025-02-02,4,Bagus
James Tompunu,2025-02-01,5,"Bagi lokasi yang munculnya gunung sahari, uninstall kemudian install kembali, berhasil untuk saya"
Iron Man,2025-02-01,3,fitur lokasi tidak akurat setelah di update
Maryono MBA,2025-01-31,5,Sangat membantu dalam keseharian
m sahiri,2025-01-31,5,Aplikasi nya bagus dan sangat membantu baik cuaca maupun bencana Alam seperti gempa.
mutiara supardi,2025-01-31,5,oke
Sekar Kanthil 5758,2025-01-31,4,"Update terakhir kok mau buka info citra satelit jadi susah, jg menu lainnya. Awal saya kira karena kapasitas memori HP, setelah hpus beberapa aplikasi dan memori penyimpanan hasilnya kok sama. Mohon pembaharuan aplikasi ttp memperhatikan bagaimana agar semua gadged ttp bisa support, terimakasih."
Pengguna Google,2025-01-31,3,notifikasi berulang sampai 2x setelah kejadian gempa dengan jarak lebih dari 1 jam.
ahmad ramadhin,2025-01-31,4,"muncul notifikasi,pemberitahuan izinkan mengakses lokasi.,padahal sudah di izinkan., tapi tetap pemeritahuannya tetap muncul., dan juga peta guncangan tak bisa di akses., sudah 2 hp saya coba., tetap kerusakan ini ada..,"
Jaka Ariantoni,2025-01-31,5,Sangat membantu informasi
Hektor Nykterstein,2025-01-31,2,ada bug dalam membaca keakuratan gps pada menu cuaca TOLONG SEGERA PERBAIKI!
Miracle Kansil,2025-01-31,5,Bagus
Ghazi L,2025-01-31,1,"Eror terus padahal di daerahku lagi ada gempa ,malah eror terus aplikasinya..."
abdul kharis,2025-01-30,2,Lokasi tidak berfungsi
ismail,2025-01-30,4,"Bagus sangat membantu utk info cuaca sblm perjalanan dan buat antisipasi keadaan dari bencana,"
Yenny Zacchary,2025-01-30,2,"Baru instal,ngecek langsung un instal ... Ngetik daerah mau lihat cuaca perjam ternyata gak ada,ngecek prakiraan cuaca di tempatku hari ini dibilang berawan,padaha lagi ujan badai....udahlah tak kira apk pusat lebih akurat,oalahhh..."
Husnul Khatimah Abdullah,2025-01-29,4,"Apk nya ckup bagus, tpi sayang klo udah plih desa nya, ada yang gk bisa dicari, dan ada pula udah ganti lokasi, tpi desa nya itu² aja, gk bisa keganti.!!! Mohon diperbaiki lagi, karena sebelumnya udah bagus, pas sudah update malah jadi begitu 😢"
Baron Agil,2025-01-29,5,Harusnya tambahin widget biar lebih bagus
Bayu Hidayat,2025-01-29,1,Lelet 💩
Raka Radianyah Putra 2008,2025-01-29,4,"Sudah bagus aplikasi susuai degan cuaca di daerah saya cuman saran saya kalau bisa tambahan ""WIGET"" agar mempermudah liat cuaca atau gempa yang terjadi selain itu tidak harus membuka aplikasi"
Ferry prayangga,2025-01-29,1,"Ada bug,tidak bisa input daerah permanen/otomatis,kalau keluar aplikasi harus input manual lagi. Padahal sudah aktifkan GPS"
On To,2025-01-29,5,Ini loading Nya ga pakai data atau pakai data saya ga tau tolong dong kasih tau ya aku mohon ? 🤭
Meong Keribo,2025-01-29,5,Sangat membantu untuk memprediksi cuaca hujan atau ke depan
Sayyid Ash-Habussunan,2025-01-29,1,"Setelah update, halaman awal dari aplikasi selalu di Gunung Sahari Selatan, padahal lokasi sudah di ubah ke Bandung. Sebelum update tidak ada masalah seperti ini."
Abadi Prasodjo,2025-01-29,5,Membantu untuk kegiatan out door
akbar tata,2025-01-28,1,carilah cara biar bisa memprediksi jangan nnt sdah kejadian baru muncul pemberitahuan
Kelvin Malvino,2025-01-28,5,Di tingkat kan lagi
rini maliki,2025-01-28,5,Mantap
Muh Zumroni,2025-01-28,3,Lokasi tidak sesuai dan tidak bisa diubah...pilih lewat gps atau memasukan kelurahan/desa pun tetap tidak bisa...yang muncul tetap gunung sahari selatan
Lalu Balya Wiranegara,2025-01-28,1,Tolong perbaiki akurasi lokasi. Saya dimana lokasi lain entah dimana sehingga ada gempa berlokasi di rumah selalu berjarak puluhan ribu km tampilannya di layar hp
Hadits 777,2025-01-28,5,Sangat informatif
Steven,2025-01-28,1,"Udh lemot perkiraan cuaca aja salah mulu, kalo update aplikasi sekalian aja lah, skrg lokasinya aneh pdhl gps sudah akurat"
Adeng pananrang,2025-01-28,5,Luar biasa 👍👍👍
FAUZI RAHMADIANTO,2025-01-28,2,"Lokasi tidak akurat , padahal sudah pakai GPS. Sudah diubah manual tapi sama saja tidak ada perubahan , direfres pun tidak ngaruh"
Laudo Laudo,2025-01-27,5,Bagus
HARUN ROSID ROSID,2025-01-27,5,بسم الله الرحمن الرخيم semoga amanah & terpercaya. Amiin
sulli mahal,2025-01-26,1,Lokasi tidak update. Input manual pun tidak bisa terupdate.
Ridho Wahyudi Syafrita,2025-01-25,1,Lokasi gps tidak sesuai
Hasrudin Maranai,2025-01-24,5,Sangat bagus
Hardi Hardi,2025-01-24,5,Mantap
Rais Supu,2025-01-24,5,👍
Eko Imroni,2025-01-22,5,"Sangat membantu mendapatkan informasi spesifik curah hujan dan informasi penting lainnya seperti Gempa Bumi. Untuk team pengembang aplikasi saya berharap kedepannya semakin baik , terimakasih."
Wawan Wibowo,2025-01-22,5,Untuk wilayah Cakung timur ga akurat
Abu Bakar,2025-01-21,2,"Lokasi selalu gunung sahari.. Setting pajr gps tetap gk bisa, mohon secepatnya dperbaiki"
Mamah Abidzar,2025-01-21,3,"Aplikasi ini semakin lemot, informasi gemoa terkini masa sdh 2 hari yang lalu... Coba perbaiki lagi sistem nya donk"
Frq M M,2025-01-21,1,"Cacat njirr, di buka sulit, tampilan cuaca nggak langsung di lokasi kita, apa apaan, buat aplikasi tuh yang jelas"
Taufik Romadhon,2025-01-20,5,semoga selalu maju
Bayu Adi nugroho,2025-01-20,2,Tidak akurat
Miranti mutiara Putri,2025-01-20,2,Semenjak di update lokasi tidak sesuai sudah di setting tapi balik lagi ke jakarta
indcipta prabot,2025-01-20,5,Mantap
Wahyu Wahyu,2025-01-19,3,"ku bukan orang jabodetabek, beranda munculnya gunung sahari terus, g peduli ma cuaca jakarta yg versi seblumnya bisa otomatis detect lokasi,"
LF,2025-01-18,3,Widget widget widget widget.....
Andreas Hangono,2025-01-17,3,"Setelah update lokasi di beranda tidak bisa di rubah sesuai GPS, tampilannya selalu Gunung Sahari Selatan"
Congkrang Bedog,2025-01-17,5,Good info
Pengangguran ngapak,2025-01-17,2,Update terakhir kok malah per kelurahan. Dan udah pilih lokasi sekali buka app malah jadi gunung sahari.
Bambang Murdoko,2025-01-17,1,"Bagaimana ini, diupgrade kok malah bermasalah. Benahi dulu, jangan asal perintah upgrade. Payah !"
Rahman,2025-01-16,1,Kenapa sekarang tidak bisa pilih kota yang diinginkan?
Tino Agung Sembodo,2025-01-16,3,Tidak dapat setting lokasi sesuai GPS. selalu kembali lagi ke Gunung sahari Jakarta. Mohon diperbaiki. Terimakasih.
Agus Muhamad Hidayat,2025-01-16,5,Baik
Wawan Setiawan,2025-01-16,1,Habis pembaruan malah gakbisa update lokasi..
yoga mahendra,2025-01-16,1,"Setelah update makin lelet tiap dibuka. Lokasi kenapa selalu gunung sahari jakarta,tidak sesuai dengan setingan lokasi default yg kita pilih sendiri sebelum di update. Kembalikan tampilan apk seperti dahulu"
Dhea Justitia,2025-01-16,2,"Lokasi yang tertera di bagian cuaca dan gempa bumi sering berubah sendiri padahal GPS di gawai sudah dinyalakan. Meski sudah diubah lokasinya supaya sesuai, tapi lokasi yang sudah diperbaiki malah kembali ke lokasi yang salah. Hal ini bukan cuma 1-2 kali, tapi cukup sering terjadi dan ini cukup mengganggu. Selain itu, kalau ada peringatan gempa bumi sebaiknya juga dimunculkan suaranya di aplikasi, seperti di web inatews bmkg."
Saint von Claude,2025-01-14,5,"apk yang bagus untuk memperkirakan cuaca dan lainnya, Terima kasih BMKG Indonesia ku tercinta sehat selalu negriku👍"
Taryono Ajah,2025-01-14,1,Masih banyak bug nya tolong di perbaiki
Genster Alfatih,2025-01-14,2,Nama desa di PT ABC
Hana Fall,2025-01-13,5,Sangat baik
Radif Aditia,2025-01-13,5,Good
Abah Ahmad,2025-01-12,5,"Tolong tambahkan widget, terima kasih 👍"
Al Fatih Alifiandra,2025-01-12,1,"Pemilihan lokasi tidak akurat, alamat saya di kepulauan riau, muncul nya malah di gunung sahari selatan, cuaca lagi hujan badai 3 hari 3 malam malam munculnya cuma berawan. Diganti sesuai GPS lokasinya juga tidak bisa"
Driyanto Kriswan,2025-01-12,5,Sangat berguna untuk pra ajtivitas outdoor
firman wahyudi,2025-01-12,3,"Kenapa setelah update, radar cuaca untuk Lampung tidak bisa di tampilkan ?"
Anggoro Dwi,2025-01-11,1,Informasi selalu terlambat.
Awl Ajah,2025-01-11,5,mayan
Reza Syarif,2025-01-11,1,Kok sering banget ya kesalahan prakiraan cuacanya katanya 85 persen gimana sih kok banyakan salahnya
Agung Saputra,2025-01-11,3,Admin bmkg ini aplikasinya gak bisa di rubah lokasinya udah coba pakai GPS juga gak bisa masih lokasi gunung Sahari Selatan. Padahal udah versi terbaru ini aplikasi. Mohon bisa di cek ulang sama developer aplikasinya min masa gunung Sahari Selatan terus. Memang di lokasi itu ada apa sih min?
Indria Happy,2025-01-11,4,"Tolong diberi tambahan informasi kwalitas udara saat musim serbuk sari polen atau spora . Karena sangat dibutuhkan untuk kami orang2 yang alergi sebuksari, baik asma , dan gangguan pernafasan yang lain . Atau juga bisa berguna untuk pertanian di Indonesia"
juma akhir,2025-01-11,4,"Sejak diperbaharui info cuacanya tidak update. Saya di Bekasi walau masuk wilayah jabar tapi saya butuh daerah jabodetabek seperti sebelum di update. Sekarang info cuacanya daerah jabar yang jauh dari Bekasi. Bogor masih jabar tapi udah gak pernah ada lagi, sesama Bekasi juga ga ada update an cuacanya hujan atau enggak. Bagusan yang versi sebelum diperbaharui jadi kalau saya mau jalan ke daerah Jabodetabek selalu siap sedia kalau memang berpotensi hujan."
ari budianto,2025-01-11,1,"bagus sih ada info gempa, tp delaynya 1 jam, udah di refresh blum jg ada peringatan. ga kaya negaranya kakek SUGIONO."
Ova,2025-01-11,4,aku harap operasional tim bmkg bisa updet sistem dengan cara cepet updet kalau ada gempa. atau bisa sebelum gempa ada info. jangan 5 menit setelah gempa baru updet udah ketimpa bangunan baru ada info jadinya ga bisa antisipasi. semoga kedepannya bmkg bisa
Kamad Kamad,2025-01-10,4,lumayanan
Bravo Wira,2025-01-09,2,Setelah update gpsnya jadi ngawur ga akurat lagi. Nyasar ke daerah antah berantah tidak mau berganti ke lokasi realtime
Dimas Kusaryanto,2025-01-09,2,"SUDAH 2 MIGGU PRAKIRAANNYA SALAH, DI TEMPATKU CERAH MATAHARI PANAS PAS BUKA APLIKASI HUJAN LEBAT, GILIRAN TEMPAT KU HUJAN LEBAT MALAH DI APLIKASI CERAH BERAWAN. INI YG NGACO SATELIT NYA APA GIMANA ?. APLIKASI CUACA ACCUWEATHER, JUSTRU LEBIH AKURAT 🥱🥱. UDAH GITU NOTIFIKASI PERINGATAN DINI GAK MUNCUL, CUMA NOTIFIKASI GEMPA DOANG YG MUNCUL DI BAR NOTIFIKASI, PADAHAL PENGATURAN SUDAH DI AKTIFIN... HADEHHHH."
Yopi Hermawan,2025-01-08,2,Lokasi via GPS tidak akurat
Suseno Suseno,2025-01-08,5,"Amat sangat bagus untuk masyarakat dan bangsa, semangat !"
Ir. Mustakim,2025-01-08,4,Info kejadian lambat terupdate ...
Ferry Firmansyah,2025-01-07,5,Sangat up to date & membantu
Ryan JRP,2025-01-07,1,Aplikasi ini g update kondisi gempa hari ini 8 Januari 2025 gempa jam 2 pagi g ada peringatan apa²...apalagi mau nunjukin gede gempa 😡
Brojonoto Pangestu,2025-01-07,5,Sangat membantu dalam mencari info gempa
Muhammad Ashraf,2025-01-07,4,Terkadang tidak akurat info cuaca nya
Azril Ardiansyah,2025-01-07,5,"Alhamdulillah aplikasinya sudah normal setelah saya hapus kemudian saya download lagi, sekarang update sampai tingkat kelurahan."
omar Senno,2025-01-06,1,meleset terus
Muhammad Rasyid,2025-01-06,5,Mengapa lokasi asal tempat tinggal tidak muncul di aplikasi?
Itet Itett,2025-01-06,4,Memuaskan
Tri Septi Waldiani AD,2025-01-05,5,"Setelah update, pencariannya berdasarkan desa desa,jadi agak bingung dan ada yg tidak ada yg dicari 🥲 sebelum kyk gini masyaAllah akurat banget andalan utk cek cuaca sebelum berpergian"
Ramdani Ilhamm,2025-01-05,5,Aplikasinya bagus terus diperbarui lagi
Deep,2025-01-05,2,cuaca ga bisa otomatis ngikutin dimana kita berada
anggita indarta,2025-01-05,1,Dah tutup aplikasinya. Prakiraan kok mleset terus. Bikin rugi orang usaha.
Bayu Pamungkas,2025-01-04,4,Aplikasi nya lemot sekarang gak update
Ferguso LaPuta,2025-01-04,3,"Tidak akurat, di aplikasi tertera Cerah berawan namun nyatanya hujan Lebat🤣"
MEIGI CHAERIZAL,2025-01-03,1,Ufdate gempanya terlalu lama 4-10 menit setelah kejadian
Jackson changgih34,2025-01-03,2,Apa ini aplikasi cuacanya kok sering eror
Sri Gustiani,2025-01-02,1,Prediksi ombak tidak akurat
Yagzel Audes Pasang,2025-01-01,5,Aplikasi ini sangat membantu dan mempermudah pengguna
Buddy Ahmad,2025-01-01,3,"Maaf sebelum nya, sebenarnya sudah bagus tp sekedar kasih saran GPS nya tlg akuratin biar tepat sasaran. Terima kasih"
Johanes Hand,2025-01-01,4,Membantu
Joko Satriono,2024-12-31,4,"Lokasi tidak akurat, padahal GPS aktif. Sudah diketik manual bisa. Kalo keluar aplikasi harus ketik lokasi lagi."
Jastin Lim,2024-12-31,1,"Kenapa Radar Cuaca Susah Di Buka Ya, Tolong Penjelasan Nya"
Syarifuddin Syarifuddin,2024-12-31,5,Mantap
Ghazal Attarayhan,2024-12-31,4,"Bagusan versi sebelum nyaa hari dan waktu nyaa berurut di aplikasi, klo yang skrg mah dari selasa masa setelah nyaa udah langsung sabtu aja, semoga bisa diperbaiki"
Hilma Yani,2024-12-30,5,Masa wilayaku enggak ada ?
Serigala Ompong,2024-12-30,1,"Semenjak update terbaru, lokasinya jadi error dpt gunung sahari terus, padahal saya tinggal di Jakarta, mau pilih lokasi manual pun tetap ke gunung sahari terus... Tolong update yang beneran."
Nyarista Anggraini,2024-12-30,4,Sebenarnya sangat membantu tapi kenapaya akhir akhir ini saya tidak bisa membuka terkendala lokasi
Daman Huri,2024-12-30,5,BMKG buatlah video cara mengatasi gempa besar agar orang orang agar mengetahui teknologi informasi tentang gempa
Maya Syafa.P,2024-12-30,2,"Tidak lengkap, kalau mau ngecek potensi2 seperti banjir harus bentuk link lain lagi"
Rizkihawinanda2024,2024-12-30,5,infoBMKG update
Akbar Alif Mailana,2024-12-30,1,"Setelah di update. Lokasinya gabisa diganti. Udah diganti ke lokasi saya, malah kembali ke lokasi Gunung Sahari Selatan."
Marcella Sasi Kirana,2024-12-29,5,Saya suka aplikasi ini penting untuk mengetahui informasi tentang cuaca dan bencana alam
Sand Sand,2024-12-29,1,"Habis diupdate malah lokasinya Gunung Sahari terus padahal sudah dipilih gunakan GPS tetep aja gak ngaruh. Tolong diperbaiki, malah lebih akurat app bawaan hp."
lintang jiwo,2024-12-29,4,7 7aa ar6 rute werrorww
Sukis Manto,2024-12-28,5,Keren slalu
Lucky Aldiano,2024-12-28,5,Sangat membantu....
Irvaniza Patria,2024-12-28,1,"Sejak di-update jadinya selalu lokasi gunung Sahari selatan, so baddd"
Aniek Wuri,2024-12-28,3,"Mohon dicek kembali ttg akurasi lokasi. Sudah saya on kan GPS tracker dan sudah request update lokasi, tapi kenapa lokasi tetap tidak akurat???? Tahun baru bisa panen bintang 1 kalau ga berubah."
Bagus Putra,2024-12-27,4,"Buat semua yang lokasi GPS nya error setelah di update, coba di uninstal dulu terus intal lagi, nanti pilih lokasi dari awal lagi baru bener lokasi GPS nya"
Dwi Kurniawan,2024-12-27,4,"Akan lebih berguna buat masyarakat, tambahkan widget Live Radar awan"
Herson Son,2024-12-26,5,Mantap
asyaif alfatah nur,2024-12-26,3,Lokasi prakiraan cuaca secara default diset di Gunung Sahari Selatan dan tidak bisa diganti baik menggunakan gps maupun secara manual. Tolong segera diperbaiki.
Fahri Iman,2024-12-26,3,Gps ngaco setelah update ganti daerah gk bisa
Putra Mahkota,2024-12-26,3,saat ini lokasi gps ngaco.. sebelumnya baik2 saja.. tolong segera diperbaiki..
Desta Subrata,2024-12-25,5,Bismillah berkah
Floarea Yara,2024-12-25,2,"Aplikasi setelah saya perbarui gps gak bisa ,citra satelit gak bisa..ngebug"
Yuniarti Any,2024-12-24,2,"Saat ini pas buka info bmkg kok munculnya wilayah gunung sahari jakarta pusat ya, tdk tmt tinggal kita"
Bandi Reog,2024-12-24,5,Sangat membantu.
Fahmi Hafidz,2024-12-24,4,"Ada masalah terkait penentuan lokasi cuaca menggunakan GPS kurang akurat, mhon bantuan nya"
YT' COTTE,2024-12-24,3,sehabis update malah beberapa lokasi tidak ditemukan untuk prakiraan cuaca
Arief Heriyanto,2024-12-24,2,Lokasi GPS tidak akurat. Dan GPS selalu not found. Padahal sebelumnya tidak pernah mengalami masalah ini. Tolong diperbaiki.
Dwi Ekayanti,2024-12-24,2,"Sejak update, lokasinya tdk prnh sesuai, sy di makassar, tp lokasi di gunung sahari, walaupun gps diperbaharui, tetap sama lokasinya tdk sesuai."
Sahraa saraah eLhaa,2024-12-23,2,Kenapa bmkg ga bisa kebuka ya aplikasinya?
KASIH AFRIL,2024-12-23,4,Empat dulu ya. Soalnya aku baru download.🤭
Faisal Syamsul,2024-12-23,5,Jadi tempat referency untuk cuaca dan info tentang gempa yg selalu uptodate..
Ali Shodiqin,2024-12-23,2,"Untuk versi terbaru saya kasih bintang 2,,buka aplikasi berat,gps ngaco,ganti lokasi gak bisa,citra satelit gak bisa diliat..pokoknya jelek banget yang versi terbaru"
Supardo,2024-12-23,5,Menjadi manusia yang bertaqwa kepada Allah SWT adalah yang terbaik. In Sha Allah 🇮🇩
Afrias TV,2024-12-23,1,"habis diperbaharui malah ngebug, masa menampilkan cuaca jakarta walau diubah"
Muhammad Ibrohim,2024-12-23,5,"Perkiraan cuacanya lumayan akurat, tapi sayang, gk ada tampilan widgetnya, adain min ya biar tampilan kerenn😁 tolong adain widget nya 😿"
Wahdini Dini iki,2024-12-23,5,Sangat bagus
Hendra Wisnu Yoga,2024-12-23,4,Mohon menambahkan laman pengamatan suhu di Antarktica. Terminal dan pelabuhan perlu memiliki transmisi jaringan informasi suhu terhubung pada ponsel sopir atau terpasang pada papan digital berjalan tanpa mengganggu badan bus juga kapal layar. Suhu tinggi dengan penurunan suhu rendah cepat mencapai kira 27 °C atau mendekati kabut perlu ada pesan khusus pada berbagai tempat. Mungkin sopir menjadi terbagi fokus maka perlu muncul sirine pada perangkat atau media terdekat tanpa membuat kejut sopir
Batu Batanggui,2024-12-23,1,Mau cek lokasi di cuaca susah dan mutar-mutar saja. Tidak muncul opsi kelurahan atau desanya. Tolong di perbaiki min.
Fathur Rahman,2024-12-23,5,Ok
Yunita Kiki,2024-12-23,1,Pilih lokasi pake gps gag bisa..bisa🫤
Anneke Putri,2024-12-23,1,"Setelah update ke yang terbaru, lokasinya selalu gunung sahari meskipun kita sudah mengaktifkan lokasi pada hp jadi selalu mengatur lokasi setiap membuka aplikasi"
Mafi Kurniamanto,2024-12-23,4,Good
Helmi Jimmi,2024-12-23,5,Bagus
N XL,2024-12-23,5,lnfo BMKG
Vernando K,2024-12-22,3,akses lokasi gps tidak bisa digunakan dalam penetuan lokasi saat ini
azka Aradhana,2024-12-22,5,Sangat akurat bisa dipakai untuk prepare saat ingin bepergian
Bowo Sadewo,2024-12-22,5,Bagusss
ayyu rahayu,2024-12-22,2,"Habis upgrade malah gak akurat cuacanya, muncul gunung sahari. Diubah kelokasi saya cuacanya gak sama. Hujan angin kencang, malah kebaca cuacanya berawan. Gimana se ini, malah gak ngebantu sama sekali."
dodik fatul,2024-12-22,5,"maaf kenapa menu radar sekarang ada tulisannya eror terus,, mohon diperbaiki,,soal lainnya sudah cukup baik,, terimakasih"
Mbah Agung,2024-12-22,3,Fitur gps nya gak berfungsi
Nur12 Nur12,2024-12-22,5,Sangat membantu
Wahid Said,2024-12-21,5,Afk in memang joss
Akbar Aksa,2024-12-21,5,Ok
siti julaeha,2024-12-21,5,Membantu membaca kondisi terbaru gempa
ponijan Gemax,2024-12-21,2,Habis di update mlah lokasi jd ngak jelas tolomg di perbaiki
yanut estrada,2024-12-21,1,"Sebelum di Update langsung bisa mengupdate Cuaca dari Saya tinggal, Setelah di Update posisi nya Tetap Gunung Sahari Jakarta, Aplikasi ini untuk orang Jakarta Gunung Sahari atau Indonesia? Aplikasi BMKG nya tambah ruwet ."
Ibunda Ulfatun,2024-12-21,5,Bagus
Herlina Sri Lestari,2024-12-21,1,"Tolong diperbaiki. Kenapa punya saya setelah diupdate, ganti lokasi ngga bisa, pake gps jg ngga bisa. Citra satelit jg ngga bisa dibuka. Pdhl sinyalnya bagus.. Mohon perhatiannya. Terima kasih."
nurhaida basri,2024-12-21,1,"Setelah update malah gajelas infonya, lokasinya pun tdk akurat, yang ditampilin malah info di lokasi jabodetabek, padahal saya di sulawesi😭 Gk banget deh pokoknya😭🙏🏻"
Rahman Sulaiman,2024-12-21,5,Oke
Agung LOCAL GUIDE,2024-12-21,1,Update terakhir aplikasi gk bisa ada peringatan kondisi cuaca extrim didaerah sekitar...
Teguh Pamungkas,2024-12-21,1,Ga akurat
Bagas Alfikar,2024-12-21,1,Can't fetch location gajelas gitu melulu wkwkwk aneh emang padahal lokasi GPS-nya udh di nyalain
Usaha Lancar,2024-12-20,1,Setelah di update bukan jadi tambah bagus malah ngebug gajelas.
Edi Ihwanto,2024-12-20,2,Habis diupdate malah gps gak terdeteksi. Selalu muncul lokasi jabotebek. Ya udah tak tunggu 3 hari kalo masih gini langsung uninstall aja.
Nang Dien,2024-12-20,5,Oke
Madino Biandi Jadmiko,2024-12-19,5,Aplikasi yang bermanfaat
Sugito Gito,2024-12-19,5,Aplikasinya bagus!
Bahdiman Putra,2024-12-19,5,Sangat bermafaat dan tepat
Diah Gilarsi,2024-12-19,4,"Bagus buat liat update cepet, tp entah tiba2 lokasi ku jd pindah ke jawa barat, pdhl aq di DIY. Disetting cari lokasi g bisa, gmna dong ini?"
